sum.taxonomy	Min_sebastes_BH.1.A.S7.L001	Min_sebastes_BH.1.B.S21.L001	Min_sebastes_BH.1.C.S35.L001	Min_sebastes_BH.2.A.S8.L001	Min_sebastes_BH.2.B.S22.L001	Min_sebastes_BH.2.C.S36.L001	Min_sebastes_BH.3.A.S9.L001	Min_sebastes_BH.3.B.S23.L001	Min_sebastes_BH.3.C.S37.L001	Min_sebastes_BL.1.A.S10.L001	Min_sebastes_BL.1.B.S24.L001	Min_sebastes_BL.1.C.S38.L001	Min_sebastes_BL.2.A.S11.L001	Min_sebastes_BL.2.B.S25.L001	Min_sebastes_BL.2.C.S39.L001	Min_sebastes_BL.3.A.S12.L001	Min_sebastes_BL.3.B.S26.L001	Min_sebastes_BL.3.C.S40.L001	Min_sebastes_LSB.B1.S43.L001	Min_sebastes_LSC.C2.S44.L001	Min_sebastes_LSC.C3.A.S45.L001	Min_sebastes_LSC.C3.B.S46.L001	Min_sebastes_PCR.blank.A.S14.L001	Min_sebastes_PRSC.A3.S47.L001	Min_sebastes_SH.1.A.S1.L001	Min_sebastes_SH.1.B.S15.L001	Min_sebastes_SH.1.C.S29.L001	Min_sebastes_SH.2.A.S2.L001	Min_sebastes_SH.2.B.S16.L001	Min_sebastes_SH.2.C.S30.L001	Min_sebastes_SH.3.A.S3.L001	Min_sebastes_SH.3.B.S17.L001	Min_sebastes_SH.3.C.S31.L001	Min_sebastes_SL.1.A.S4.L001	Min_sebastes_SL.1.B.S18.L001	Min_sebastes_SL.1.C.S32.L001	Min_sebastes_SL.2.A.S5.L001	Min_sebastes_SL.2.B.S19.L001	Min_sebastes_SL.2.C.S33.L001	Min_sebastes_SL.3.A.S6.L001	Min_sebastes_SL.3.B.S20.L001	Min_sebastes_SL.3.C.S34.L001
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;	1053	649	918	2191	1096	63	154	81	76	766	80	1335	3221	502	713	579	1239	1479	28	250	38	6	0	11	1515	114	570	1864	440	1309	5486	705	1662	1543	6806	1488	131	3038	1543	101	1381	148
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes aleutianus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes alutus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes atrovirens	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes auriculatus	0	0	0	3	0	1	4	2	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	6	2	1	7	9	13	2	0	10	0	2	1	5	0	10	5	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes babcocki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes borealis	0	0	0	0	1	0	4	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes carnatus	0	0	0	1	1170	544	1773	0	0	0	0	478	739	0	248	1646	1586	3438	0	0	0	0	0	0	0	86	1018	854	2295	1484	0	0	0	495	3192	2431	998	1320	1038	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes caurinus	1217	0	1	440	1147	0	1318	755	1262	743	7725	1344	2157	2013	1373	583	827	2	0	0	0	0	0	0	1053	745	757	2	0	1	7	0	0	1	4	0	1889	1	2373	4932	3435	1188
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes chrysomelas	553	0	2545	4900	0	2277	0	0	0	700	0	1193	2890	1036	1998	1699	1868	1399	0	0	0	0	1	0	2351	1472	2734	2198	2634	2802	2	0	0	477	2428	1885	2532	1086	5812	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes ciliatus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes dallii	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes elongatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes entomelas	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes flavidus	0	1643	0	0	1309	3090	1750	4774	0	3043	6132	4297	1038	0	1719	2184	2308	3717	0	0	0	0	0	0	5757	5227	6077	9458	10971	14498	11173	29355	12405	8707	8724	13001	2640	7577	5325	1686	2726	16713
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes goodei	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
